word;label;value;num
alma;Miedo;0.066;3
desmayar;Sorpresa;0.53;3
espanto;Repulsion;0.264;3
horrible;Repulsion;0.764;3
mal;Repulsion;0.598;3
malo;Miedo;0.663;3
vejar;Repulsion;0.664;3
abominable;Miedo;0.797;2
abominar;Repulsion;0.797;2
aborrecer;Repulsion;0.966;2
aborrecible;Repulsion;0.966;2
aborrecimiento;Repulsion;0.966;2
abusar;Repulsion;0.697;2
admirable;Sorpresa;0.73;2
admirablemente;Sorpresa;0.663;2
admiración;Sorpresa;0.764;2
admirar;Sorpresa;0.73;2
agobiar;Tristeza;0.697;2
agraviar;Tristeza;0.331;2
altivo;Enojo;0.33;2
amargo;Tristeza;0.264;2
angustia;Tristeza;0.763;2
animadversión;Repulsion;0.664;2
ánimo;Enojo;0.099;2
animosidad;Repulsion;0.297;2
antipatía;Repulsion;0.662;2
antipático;Repulsion;0.728;2
aprensión;Repulsion;0.529;2
araña;Repulsion;0.429;2
asombro;Sorpresa;0.966;2
atormentar;Tristeza;0.53;2
atroz;Miedo;0.696;2
avergonzar;Tristeza;0.297;2
cocolía;Repulsion;0.631;2
compasión;Tristeza;0.63;2
compasivo;Tristeza;0.63;2
condolencia;Tristeza;0.796;2
confuso;Tristeza;0.231;2
consternación;Tristeza;0.595;2
convulsión;Miedo;0.33;2
cortar;Repulsion;0.165;2
decepción;Tristeza;0.898;2
decepcionar;Tristeza;0.898;2
delicado;Enojo;0.066;2
demonio;Miedo;0.63;2
desagradable;Repulsion;0.898;2
desagrado;Repulsion;0.798;2
desazón;Tristeza;0.165;2
descontento;Tristeza;0.397;2
desear;Enojo;0.033;2
desfallecer;Tristeza;0.429;2
desfallecimiento;Tristeza;0.429;2
desgracia;Tristeza;0.83;2
deshonrar;Tristeza;0.429;2
detestable;Repulsion;0.966;2
detestablemente;Repulsion;0.932;2
detestación;Repulsion;0.932;2
disgustar;Repulsion;0.595;2
disgusto;Repulsion;0.595;2
embobar;Sorpresa;0.099;2
encoger;Tristeza;0.264;2
enfermedad;Tristeza;0.629;2
espantar;Sorpresa;0.831;2
estremecer;Miedo;0.628;2
estupendo;Sorpresa;0.698;2
excitar;Enojo;0.265;2
execrable;Repulsion;0.763;2
fascinante;Sorpresa;0.73;2
fastidiar;Repulsion;0.53;2
fastidio;Repulsion;0.597;2
feo;Miedo;0.297;2
fobia;Repulsion;0.663;2
frío;Tristeza;0.198;2
furor;Enojo;0.566;2
grandioso;Sorpresa;0.63;2
grima;Repulsion;0.629;2
hartar;Enojo;0.898;2
hastiar;Repulsion;0.596;2
hechizo;Miedo;0.297;2
horrendo;Repulsion;0.731;2
horripilación;Repulsion;0.697;2
horror;Repulsion;0.764;2
horroroso;Repulsion;0.764;2
hostil;Repulsion;0.498;2
humor;Enojo;0.265;2
impactar;Sorpresa;0.732;2
impotente;Tristeza;0.464;2
impresionar;Sorpresa;0.865;2
injuriar;Repulsion;0.597;2
inmoral;Tristeza;0.464;2
inquina;Repulsion;0.665;2
insatisfecho;Tristeza;0.331;2
insulto;Repulsion;0.764;2
macanudo;Sorpresa;0.73;2
maldito;Tristeza;0.264;2
maligno;Miedo;0.764;2
malquerencia;Repulsion;0.798;2
malvado;Repulsion;0.798;2
manía;Repulsion;0.264;2
maravillar;Sorpresa;0.898;2
maravillosamente;Sorpresa;0.932;2
miedo;Sorpresa;0.297;2
molestar;Tristeza;0.132;2
muerte;Tristeza;0.865;2
nefasto;Tristeza;0.33;2
odio;Repulsion;0.764;2
ofensivo;Repulsion;0.697;2
ojeriza;Repulsion;0.662;2
opresión;Tristeza;0.264;2
panteón;Tristeza;0.563;2
pena;Tristeza;0.695;2
penumbra;Tristeza;0.364;2
perseguir;Tristeza;0.231;2
perverso;Tristeza;0.132;2
pestilente;Repulsion;0.864;2
podrir;Tristeza;0.297;2
putrefacción;Repulsion;0.865;2
rabia;Repulsion;0.763;2
rata;Repulsion;0.531;2
rencor;Repulsion;0.83;2
repudiar;Repulsion;0.898;2
repugnancia;Repulsion;0.932;2
repugnar;Repulsion;0.932;2
sangre;Repulsion;0.364;2
sangriento;Repulsion;0.496;2
sobrecoger;Sorpresa;0.397;2
sobrecogimiento;Sorpresa;0.431;2
suspenso;Sorpresa;0.529;2
susto;Sorpresa;0.663;2
temor;Tristeza;0.198;2
tenso;Miedo;0.496;2
tirria;Repulsion;0.629;2
tormento;Tristeza;0.53;2
tremendo;Sorpresa;0.429;2
vejación;Tristeza;0.297;2
vergonzoso;Tristeza;0.231;2
zaherir;Repulsion;0.697;2
alma;Tristeza;0.165;3
desmayar;Tristeza;0.099;3
espanto;Sorpresa;0.831;3
horrible;Sorpresa;0.429;3
mal;Tristeza;0.431;3
malo;Tristeza;0.265;3
vejar;Tristeza;0.396;3
alma;Alegria;0.397;3
desmayar;Miedo;0.363;3
espanto;Miedo;0.899;3
horrible;Miedo;0.83;3
mal;Enojo;0.53;3
malo;Enojo;0.561;3
vejar;Enojo;0.564;3
