word;label;value;num
abandonada;Negativo;-1;1
abandonadas;Negativo;-1;1
abandonado;Negativo;-1;1
abandonados;Negativo;-1;1
abandonar;Negativo;-1;1
abandonos;Negativo;-1;1
abarrotada;Negativo;-1;1
abarrotadas;Negativo;-1;1
abarrotado;Negativo;-1;1
abarrotados;Negativo;-1;1
abatida;Negativo;-1;1
abatidas;Negativo;-1;1
abatido;Negativo;-1;1
abatidos;Negativo;-1;1
abatimiento;Negativo;-1;1
abatir;Negativo;-1;1
abiertamente;Positivo;1;1
abigarrada;Negativo;-1;1
abigarradas;Negativo;-1;1
abigarrado;Negativo;-1;1
abigarrados;Negativo;-1;1
abismal;Negativo;-1;1
abismalmente;Negativo;-1;1
abismo;Negativo;-1;1
abjurar;Negativo;-1;1
abolir;Negativo;-1;1
abollada;Negativo;-1;1
abolladas;Negativo;-1;1
abollado;Negativo;-1;1
abollados;Negativo;-1;1
abolladura;Negativo;-1;1
abolladuras;Negativo;-1;1
abollar;Negativo;-1;1
abominable;Negativo;-1;1
abominablemente;Negativo;-1;1
abominacion;Negativo;-1;1
abominar;Negativo;-1;1
abortada;Negativo;-1;1
abortadas;Negativo;-1;1
abortado;Negativo;-1;1
abortados;Negativo;-1;1
abortar;Negativo;-1;1
abrasador;Negativo;-1;1
abrasadora;Negativo;-1;1
abrasadoramente;Negativo;-1;1
abrasiva;Negativo;-1;1
abrasivas;Negativo;-1;1
abrasivo;Negativo;-1;1
abrasivos;Negativo;-1;1
abrazo;Positivo;1;1
abrazos;Positivo;1;1
abruma;Negativo;-1;1
abrumada;Negativo;-1;1
abrumadas;Negativo;-1;1
abrumado;Negativo;-1;1
abrumador;Negativo;-1;1
abrumadoramente;Negativo;-1;1
abrumados;Negativo;-1;1
abrumar;Negativo;-1;1
abrupta;Negativo;-1;1
abruptamente;Negativo;-1;1
abruptas;Negativo;-1;1
abrupto;Negativo;-1;1
abruptos;Negativo;-1;1
absorbente;Positivo;1;1
absorbentes;Positivo;1;1
absuelta;Positivo;1;1
absueltas;Positivo;1;1
absuelto;Positivo;1;1
absueltos;Positivo;1;1
absurda;Negativo;-1;1
absurdamente;Negativo;-1;1
absurdas;Negativo;-1;1
absurdo;Negativo;-1;1
absurdos;Negativo;-1;1
abunda;Positivo;1;1
abundancia;Positivo;1;1
abundancias;Positivo;1;1
abundante;Positivo;1;1
abundantes;Positivo;1;1
abundar;Positivo;1;1
abundas;Positivo;1;1
aburrida;Negativo;-1;1
aburridas;Negativo;-1;1
aburrido;Negativo;-1;1
aburridos;Negativo;-1;1
aburrimiento;Negativo;-1;1
abusada;Negativo;-1;1
abusadas;Negativo;-1;1
abusado;Negativo;-1;1
abusados;Negativo;-1;1
abusiva;Negativo;-1;1
abusivas;Negativo;-1;1
abusivo;Negativo;-1;1
abusivos;Negativo;-1;1
abuso;Negativo;-1;1
accesible;Positivo;1;1
accesibles;Positivo;1;1
accidental;Negativo;-1;1
accidente;Negativo;-1;1
accidentes;Negativo;-1;1
acecha;Negativo;-1;1
acecho;Negativo;-1;1
acechos;Negativo;-1;1
aceptable;Positivo;1;1
aceptables;Positivo;1;1
acerbo;Negativo;-1;1
aclamacion;Positivo;1;1
aclamaciones;Positivo;1;1
aclamada;Positivo;1;1
aclamadas;Positivo;1;1
aclamado;Positivo;1;1
aclamados;Positivo;1;1
aclamar;Positivo;1;1
aclarar;Positivo;1;1
acobardar;Negativo;-1;1
acogedor;Positivo;1;1
acogedores;Positivo;1;1
acomodadiza;Positivo;1;1
acomodadizo;Positivo;1;1
acosada;Negativo;-1;1
acosadas;Negativo;-1;1
acosado;Negativo;-1;1
acosador;Negativo;-1;1
acosados;Negativo;-1;1
acosar;Negativo;-1;1
acoso;Negativo;-1;1
acostado;Negativo;-1;1
acreditada;Positivo;1;1
acreditadas;Positivo;1;1
acreditado;Positivo;1;1
acreditados;Positivo;1;1
acrimonia;Negativo;-1;1
acritud;Negativo;-1;1
actualizable;Positivo;1;1
actualizada;Positivo;1;1
actualizadas;Positivo;1;1
actualizado;Positivo;1;1
actualizados;Positivo;1;1
acumulada;Negativo;-1;1
acumuladas;Negativo;-1;1
acumulado;Negativo;-1;1
acumulados;Negativo;-1;1
acusa;Negativo;-1;1
acusacion;Negativo;-1;1
acusaciones;Negativo;-1;1
acusando;Negativo;-1;1
acusar;Negativo;-1;1
acusatoriamente;Negativo;-1;1
adaptable;Positivo;1;1
adaptables;Positivo;1;1
adaptado;Positivo;1;1
adaptados;Positivo;1;1
adaptar;Positivo;1;1
adecuada;Positivo;1;1
adecuadas;Positivo;1;1
adecuado;Positivo;1;1
adecuados;Positivo;1;1
adelantamiento;Positivo;1;1
adelantamientos;Positivo;1;1
adelantar;Positivo;1;1
adherirse;Positivo;1;1
adiccion;Negativo;-1;1
adicta;Negativo;-1;1
adictas;Negativo;-1;1
adictiva;Negativo;-1;1
adictivas;Negativo;-1;1
adictivo;Negativo;-1;1
adictivos;Negativo;-1;1
adicto;Negativo;-1;1
adictos;Negativo;-1;1
admirable;Positivo;1;1
admirablemente;Positivo;1;1
admirables;Positivo;1;1
admiracion;Positivo;1;1
admiraciones;Positivo;1;1
admirador;Positivo;1;1
admiradores;Positivo;1;1
admirar;Positivo;1;1
adorable;Positivo;1;1
adorables;Positivo;1;1
adoracion;Positivo;1;1
adoraciones;Positivo;1;1
adorada;Positivo;1;1
adoradas;Positivo;1;1
adorado;Positivo;1;1
adorador;Positivo;1;1
adoradores;Positivo;1;1
adorados;Positivo;1;1
adorando;Positivo;1;1
adorar;Positivo;1;1
adormecer;Negativo;-1;1
adulacion;Positivo;1;1
adulaciones;Positivo;1;1
adulador;Positivo;1;1
aduladores;Positivo;1;1
adular;Positivo;1;1
adultera;Negativo;-1;1
adulteracion;Negativo;-1;1
adulterada;Negativo;-1;1
adulteradas;Negativo;-1;1
adulterado;Negativo;-1;1
adulterados;Negativo;-1;1
adulterar;Negativo;-1;1
adulteras;Negativo;-1;1
adultero;Negativo;-1;1
adulteros;Negativo;-1;1
adversa;Negativo;-1;1
adversaria;Negativo;-1;1
adversarias;Negativo;-1;1
adversario;Negativo;-1;1
adversarios;Negativo;-1;1
adversas;Negativo;-1;1
adversidad;Negativo;-1;1
adverso;Negativo;-1;1
adversos;Negativo;-1;1
advertencia;Negativo;-1;1
afabilidad;Positivo;1;1
afabilidades;Positivo;1;1
afable;Positivo;1;1
afablemente;Positivo;1;1
afables;Positivo;1;1
afan;Positivo;1;1
afanes;Positivo;1;1
afectacion;Positivo;1;1
afectaciones;Positivo;1;1
afectar;Negativo;-1;1
afecto;Positivo;1;1
afectos;Positivo;1;1
afectuosamente;Positivo;1;1
aficion;Positivo;1;1
aficionada;Positivo;1;1
aficionadas;Positivo;1;1
aficionado;Positivo;1;1
aficionados;Positivo;1;1
aficiones;Positivo;1;1
afinidad;Positivo;1;1
afinidades;Positivo;1;1
afirmacion;Positivo;1;1
afirmaciones;Positivo;1;1
afirmar;Positivo;1;1
afirmativamente;Positivo;1;1
afirmativo;Positivo;1;1
afliccion;Negativo;-1;1
afligida;Negativo;-1;1
afligidas;Negativo;-1;1
afligido;Negativo;-1;1
afligidos;Negativo;-1;1
afligir;Negativo;-1;1
afligirse;Negativo;-1;1
aflojada;Negativo;-1;1
aflojadas;Negativo;-1;1
aflojado;Negativo;-1;1
aflojados;Negativo;-1;1
afluencia;Positivo;1;1
afluencias;Positivo;1;1
afluente;Positivo;1;1
afluentes;Positivo;1;1
afortunada;Positivo;1;1
afortunadamente;Positivo;1;1
afortunadas;Positivo;1;1
afortunado;Positivo;1;1
afortunados;Positivo;1;1
afrenta;Negativo;-1;1
agallas;Negativo;-1;1
agil;Positivo;1;1
agiles;Positivo;1;1
agilidad;Positivo;1;1
agilmente;Positivo;1;1
agitarse;Negativo;-1;1
agonias;Negativo;-1;1
agonicamente;Negativo;-1;1
agonizante;Negativo;-1;1
agonizar;Negativo;-1;1
agotada;Negativo;-1;1
agotadas;Negativo;-1;1
agotado;Negativo;-1;1
agotador;Negativo;-1;1
agotados;Negativo;-1;1
agotamiento;Negativo;-1;1
agotar;Negativo;-1;1
agraciada;Positivo;1;1
agraciadas;Positivo;1;1
agraciado;Positivo;1;1
agraciados;Positivo;1;1
agradabilidad;Positivo;1;1
agradabilisimo;Positivo;1;1
agradable;Positivo;1;1
agradablemente;Positivo;1;1
agradables;Positivo;1;1
agradecer;Positivo;1;1
agradecida;Positivo;1;1
agradecidas;Positivo;1;1
agradecido;Positivo;1;1
agradecimiento;Positivo;1;1
agravacion;Negativo;-1;1
agravante;Negativo;-1;1
agravar;Negativo;-1;1
agraviada;Negativo;-1;1
agraviadas;Negativo;-1;1
agraviado;Negativo;-1;1
agraviados;Negativo;-1;1
agravio;Negativo;-1;1
agresion;Negativo;-1;1
agresiva;Negativo;-1;1
agresivas;Negativo;-1;1
agresividad;Negativo;-1;1
agresivo;Negativo;-1;1
agresivos;Negativo;-1;1
agresor;Negativo;-1;1
agria;Negativo;-1;1
agriamente;Negativo;-1;1
agrias;Negativo;-1;1
agrietada;Negativo;-1;1
agrietadas;Negativo;-1;1
agrietado;Negativo;-1;1
agrietados;Negativo;-1;1
agrietarse;Negativo;-1;1
agrio;Negativo;-1;1
agrios;Negativo;-1;1
aguada;Negativo;-1;1
aguafiestas;Negativo;-1;1
aguda;Positivo;1;1
agudas;Positivo;1;1
agudeza;Positivo;1;1
agudo;Positivo;1;1
agudos;Positivo;1;1
aguijon;Negativo;-1;1
agujereada;Negativo;-1;1
agujereadas;Negativo;-1;1
agujereado;Negativo;-1;1
agujereados;Negativo;-1;1
agujero;Negativo;-1;1
ahogar;Negativo;-1;1
ahogarse;Negativo;-1;1
ahogo;Negativo;-1;1
ahorra;Positivo;1;1
ahorrador;Positivo;1;1
ahorradora;Positivo;1;1
ahorradoras;Positivo;1;1
ahorrativa;Positivo;1;1
ahorrativas;Positivo;1;1
ahorrativo;Positivo;1;1
ahorrativos;Positivo;1;1
ahorro;Positivo;1;1
ahorros;Positivo;1;1
airadamente;Negativo;-1;1
airado;Negativo;-1;1
aislada;Negativo;-1;1
aisladas;Negativo;-1;1
aislado;Negativo;-1;1
aislados;Negativo;-1;1
aislamiento;Negativo;-1;1
aislar;Negativo;-1;1
ajustable;Positivo;1;1
ajustables;Positivo;1;1
alabada;Positivo;1;1
alabadas;Positivo;1;1
alabado;Positivo;1;1
alabados;Positivo;1;1
alabando;Positivo;1;1
alabanza;Positivo;1;1
alabanzas;Positivo;1;1
alarma;Negativo;-1;1
alarmada;Negativo;-1;1
alarmadas;Negativo;-1;1
alarmado;Negativo;-1;1
alarmados;Negativo;-1;1
alarmante;Negativo;-1;1
alarmantemente;Negativo;-1;1
albergar;Negativo;-1;1
alborota;Negativo;-1;1
alborotador;Negativo;-1;1
alborotas;Negativo;-1;1
alboroto;Negativo;-1;1
alborotos;Negativo;-1;1
alcahuete;Negativo;-1;1
alcanzable;Positivo;1;1
alcanzables;Positivo;1;1
alcista;Positivo;1;1
alcistas;Positivo;1;1
aleccionador;Negativo;-1;1
alegacion;Negativo;-1;1
alegar;Negativo;-1;1
alegrar;Positivo;1;1
alegrarse;Positivo;1;1
alegre;Positivo;1;1
alegremente;Positivo;1;1
alegres;Positivo;1;1
alegria;Positivo;1;1
alentador;Positivo;1;1
alentadora;Positivo;1;1
alentadoramente;Positivo;1;1
alentadoras;Positivo;1;1
alentadores;Positivo;1;1
alergia;Negativo;-1;1
alergica;Negativo;-1;1
alergicas;Negativo;-1;1
alergico;Negativo;-1;1
alergicos;Negativo;-1;1
aleta;Positivo;1;1
aleteo;Positivo;1;1
aleteos;Positivo;1;1
algarabia;Negativo;-1;1
alicaida;Negativo;-1;1
alicaidas;Negativo;-1;1
alicaido;Negativo;-1;1
alicaidos;Negativo;-1;1
alienacion;Negativo;-1;1
alienada;Negativo;-1;1
alienadas;Negativo;-1;1
alienado;Negativo;-1;1
alienados;Negativo;-1;1
alivia;Positivo;1;1
alivias;Positivo;1;1
alivio;Positivo;1;1
alivios;Positivo;1;1
alterar;Negativo;-1;1
altercado;Negativo;-1;1
altiva;Negativo;-1;1
altivamente;Negativo;-1;1
altivas;Negativo;-1;1
altivo;Negativo;-1;1
altivos;Negativo;-1;1
altruista;Positivo;1;1
altruistas;Positivo;1;1
alucinacion;Negativo;-1;1
alucinante;Positivo;1;1
alucinar;Negativo;-1;1
ama;Positivo;1;1
amabilidad;Positivo;1;1
amable;Positivo;1;1
amablemente;Positivo;1;1
amables;Positivo;1;1
amada;Positivo;1;1
amadas;Positivo;1;1
amado;Positivo;1;1
amados;Positivo;1;1
amante;Positivo;1;1
amaña;Negativo;-1;1
amañas;Negativo;-1;1
amaño;Negativo;-1;1
amaños;Negativo;-1;1
amarga;Negativo;-1;1
amargamente;Negativo;-1;1
amargar;Negativo;-1;1
amargas;Negativo;-1;1
amargo;Negativo;-1;1
amargos;Negativo;-1;1
amargura;Negativo;-1;1
amas;Positivo;1;1
ambiciosamente;Positivo;1;1
ambicioso;Positivo;1;1
ambiciosos;Positivo;1;1
ambigua;Negativo;-1;1
ambiguas;Negativo;-1;1
ambiguedad;Negativo;-1;1
ambiguo;Negativo;-1;1
ambiguos;Negativo;-1;1
ambivalencia;Negativo;-1;1
ambivalente;Negativo;-1;1
amenaza;Negativo;-1;1
amenazador;Negativo;-1;1
amenazadoramente;Negativo;-1;1
amenazante;Negativo;-1;1
amenazar;Negativo;-1;1
amenazas;Negativo;-1;1
amenidad;Positivo;1;1
amiga;Positivo;1;1
amigable;Positivo;1;1
amigablemente;Positivo;1;1
amigables;Positivo;1;1
amigas;Positivo;1;1
amigo;Positivo;1;1
amigos;Positivo;1;1
amiguismo;Negativo;-1;1
amistad;Positivo;1;1
amistades;Positivo;1;1
amistosa;Positivo;1;1
amistosas;Positivo;1;1
amistoso;Positivo;1;1
amistosos;Positivo;1;1
amo;Positivo;1;1
amonestacion;Negativo;-1;1
amonestada;Negativo;-1;1
amonestadas;Negativo;-1;1
