MODEL_LDA;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_NMF;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_LSI;TOPIC INDEX;TOPIC NAME;AVERAGE
all_all_topic;topic 0;ninos ninas;4.306.439.247.084.750;all_all_topic;topic 0;inferior loma;6.686.715.551.192.560;all_all_topic;topic 0;inferior loma;0.1877185805414698
all_all_topic;topic 0;bueno comenzar;3.076.962.702.904.780;all_all_topic;topic 0;ingresar enlazar;645.919.865.411.182;all_all_topic;topic 0;ingresar enlazar;0.1815595614063478
all_all_topic;topic 0;fondo sapiencia;2.910.062.706.157.120;all_all_topic;topic 0;tener contar;5.775.295.073.173.500;all_all_topic;topic 0;tener contar;0.1648434054761865
all_all_topic;topic 0;mensaje internar;2.085.336.675.696.340;all_all_topic;topic 0;pasar desnivel;577.336.801.344.393;all_all_topic;topic 0;pasar desnivel;0.16208320285294406
all_all_topic;topic 0;nuevo caso;18.472.502.368.458.500;all_all_topic;topic 0;contar hacerlo;5.714.093.530.079.630;all_all_topic;topic 0;contar hacerlo;0.1604733145819778
all_all_topic;topic 0;bueno tarde;1.650.432.456.856.280;all_all_topic;topic 0;paz salvar;565.698.280.909.345;all_all_topic;topic 0;paz salvar;0.15884149953408272
all_all_topic;topic 0;caso fallecido;15.503.674.913.352.500;all_all_topic;topic 0;descargar facturar;537.043.720.937.907;all_all_topic;topic 0;descargar facturar;0.1507461046515701
all_all_topic;topic 0;recuperar nuevo;1.547.417.993.446.580;all_all_topic;topic 0;digital ingresar;51.421.784.664.965.100;all_all_topic;topic 0;digital ingresar;0.14436042124145382
all_all_topic;topic 0;primero infancia;15.394.075.685.902.800;all_all_topic;topic 0;realizar tramitar;5.033.809.866.549.110;all_all_topic;topic 0;realizar tramitar;0.1431110119513406
all_all_topic;topic 0;instituci educativo;12.862.329.091.182.900;all_all_topic;topic 0;facturar digital;4.970.511.034.212.540;all_all_topic;topic 0;facturar digital;0.13952033090092136
all_all_topic;topic 1;bueno noche;1.168.952.015.942.440;all_all_topic;topic 1;reducir sentir;18.074.849.705.335.800;all_all_topic;topic 1;reducir sentir;0.5427458039978544
all_all_topic;topic 1;bueno tarde;11.196.065.753.395.700;all_all_topic;topic 1;alto flujo;15.252.565.708.583.700;all_all_topic;topic 1;alto flujo;0.4581393551090029
all_all_topic;topic 1;ruta integrar;9.180.816.594.727.540;all_all_topic;topic 1;sentir norte;78.365.733.296.778.900;all_all_topic;topic 1;sentir norte;0.23531624056505843
all_all_topic;topic 1;tomar ruta;7.996.168.826.228.820;all_all_topic;topic 1;norte altura;7.296.264.486.949.300;all_all_topic;topic 1;norte altura;0.21909414339689193
all_all_topic;topic 1;linear bus;5.093.176.417.762.640;all_all_topic;topic 1;autopista norte;6.365.888.882.476.610;all_all_topic;topic 1;autopista norte;0.19120153358855393
all_all_topic;topic 1;sistema solar;49.166.696.450.331.200;all_all_topic;topic 1;norte alto;5.134.239.137.306.340;all_all_topic;topic 1;norte alto;0.15417340190082954
all_all_topic;topic 1;parque explorar;4.683.525.112.798;all_all_topic;topic 1;altura reducir;4.743.897.430.968.540;all_all_topic;topic 1;altura reducir;0.14244823427186212
all_all_topic;topic 1;hacer partir;3.753.243.144.357.500;all_all_topic;topic 1;sentir sur;4.623.798.761.830.100;all_all_topic;topic 1;sentir sur;0.1388419498599162
all_all_topic;topic 1;fin semana;33.877.133.153.981.700;all_all_topic;topic 1;reducir calzar;4.233.664.291.235.700;all_all_topic;topic 1;reducir calzar;0.12713154626953174
all_all_topic;topic 1;punto venta;33.522.569.072.802.100;all_all_topic;topic 1;conocer vias;4.203.917.401.727.340;all_all_topic;topic 1;conocer vias;0.12624044508593685
all_all_topic;topic 2;sonar radiar;360.033.404.118.733;all_all_topic;topic 2;momento aeropuerto;13.944.645.973.429.500;all_all_topic;topic 2;momento aeropuerto;0.4626524584645916
all_all_topic;topic 2;radiar sonar;18.648.469.511.516.000;all_all_topic;topic 2;aeropuerto operar;13.053.833.208.542.100;all_all_topic;topic 2;aeropuerto operar;0.4330972645577625
all_all_topic;topic 2;aire convosradio;17.785.820.692.708.800;all_all_topic;topic 2;operar normalidad;12.863.127.780.345.900;all_all_topic;topic 2;operar normalidad;0.42720915455600017
all_all_topic;topic 2;minuto alaire;13.093.407.936.232.500;all_all_topic;topic 2;operaci aereas;11.100.897.531.673.600;all_all_topic;topic 2;operaci aereas;0.3683031856081761
all_all_topic;topic 2;alaire convosradio;12.656.588.454.887.800;all_all_topic;topic 2;aereas normalidad;6.646.833.707.236.670;all_all_topic;topic 2;aereas normalidad;0.22052721607403136
all_all_topic;topic 2;minuto aire;11.380.385.392.526.000;all_all_topic;topic 2;condicionar meteorologicas;4.968.545.718.237.250;all_all_topic;topic 2;condicionar meteorologicas;0.16496643948535647
all_all_topic;topic 2;conectate sonar;10.502.005.670.169.900;all_all_topic;topic 2;normalidad telemedellin;4.111.443.530.249.490;all_all_topic;topic 2;normalidad telemedellin;0.13640858726228744
all_all_topic;topic 2;temer hoy;10.176.908.488.257.400;all_all_topic;topic 2;cerrar condicionar;35.289.890.301.308.100;all_all_topic;topic 2;cerrar condicionar;0.11708403740013004
