INDEX_CHAT;TEXT;POLARITY;AVERAGE;LABEL
1301677843819237376;b'@alvaroforero Doctor Alvaro usted es un gran informador. Lo admiro.';1;0.6666666666666666;Positivo
1258112577160216576;b'@AlianzaCAOBA @JoseFMolano @JairoTorregrose @gabrielmoreno10 gracias';1;1.0;Negativo
1309093084093919234;b'Que se respete#DelFalloPienso';1;1.0;Positivo
1300397377317199872;b'@fdbedout Sintesis del pais. De acuerdo con Felix.';0;0; 
1258111699263148035;b'@JoseFMolano @JairoTorregrose @gabrielmoreno10 @AlianzaCAOBA Jose como hago para verlos.';0;0; 
1258097302885015552;b'@ClaudiaLopez Alcade gracias por salvar vidas. Fue gracias a usted que las cifras en Col. no sean como las de otros paises. Abrazo enorme';1;0.6666666666666666;Negativo
1270502935600992256;b'RT @pcontexto: En #aislamiento , hacemos todo por estar cerca de nuestros lectores. Nuestro periodico sigue:  #Contexto75 ahora en PDF inte';1;1.0;Negativo
1235660774862925824;b'@lumoncolombia';0;0;Neutro
1258452606877401088;b'@SamuelHoyosM Esta opinion es suya o es  de la asociacion que representa?';0;0; 
1158758562333691909;b'#Lanet2019';0;0;Neutro
1224087700132843520;b'@Clauslagartija Claudia considero que debemos tambien ser activos de la creacion.';1;1.0;Positivo
1243188856427552770;b'RT @QuinteroCalle: Le he pedido a @mabel_lopez5 directora de @Telemedellin cancelar lo del hotel y volver a las instalaciones de Telemedell';0;0; 
1235661120758837248;b'@lumoncolombia estoy disgustado por el clima.';1;1.0;Negativo
1191384132649132034;b'RT @DCoronell: De una finca de dona Lina convertida en urbanizacion campestre en Monteria sale el lote con el que @AlvaroUribeVel le paga h';0;0; 
1309093084093919234;b'Que se respete#DelFalloPienso';1;1.0;Positivo
1300397377317199872;b'@fdbedout Sintesis del pais. De acuerdo con Felix.';0;0; 
1258452606877401088;b'@SamuelHoyosM Esta opinion es suya o es  de la asociacion que representa?';0;0; 
1301677843819237376;b'@alvaroforero Doctor Alvaro usted es un gran informador. Lo admiro.';1;0.6666666666666666;Positivo
1270502935600992256;b'RT @pcontexto: En #aislamiento , hacemos todo por estar cerca de nuestros lectores. Nuestro periodico sigue:  #Contexto75 ahora en PDF inte';1;1.0;Negativo
