#;feature;luisfer81567047;gabrielmoreno10;AlcaldiadeMed;QuinteroCalle
0;abrir convocatorio;0.0;0.0;0.13243298104626036;0.0
1;abrir procesar;0.0;0.0;0.09758219656040235;0.0
2;acompanamiento especializar;0.0;0.0;0.06273141207454437;0.0
3;actualizar casar;0.0;0.0;0.11849266725191715;0.0
4;actualizar caso;0.0;0.0;0.09061203966323077;0.0
5;aire hoy;0.0;0.0;0.10455235345757395;0.0
6;aire librar;0.0;0.0;0.08364188276605916;0.0
7;alaire hoy;0.0;0.0;0.07667172586888756;0.0
8;alto calidad;0.0;0.0;0.04396281406263217;0.09319828074277701
9;arte cultura;0.0;0.0;0.06594422109394826;0.03106609358092567
10;bajar guardia;0.0;0.0;0.03846746230480315;0.06213218716185134
11;bienestar animal;0.0;0.0;0.03846746230480315;0.06213218716185134
12;bill peso;0.0;0.0;0.021981407031316087;0.12426437432370269
13;bueno comportamiento;0.0;0.0;0.04396281406263217;0.03106609358092567
14;bueno noticiar;0.0;0.0;0.06594422109394826;0.4038592165520337
15;calidad aire;0.0;0.0;0.12546282414908874;0.0
16;capturar alias;0.0;0.0;0.010990703515658043;0.24852874864740537
17;caso nuevo;0.0;0.03227664496267727;0.054953517578290215;0.0
18;cedulas terminar;0.0;0.0;0.11849266725191715;0.0
19;centro comercial;0.0;0.0;0.04396281406263217;0.12426437432370269
20;ciencia tecnologia;0.0;0.026130725825094826;0.013346882576766925;0.10060272060601083
21;compartir dato;0.0;0.0;0.2788062758868639;0.0
22;compartir informacion;0.0;0.0;0.09758219656040235;0.0
23;compraspublicas abrir;0.0;0.0;0.09758219656040235;0.0
24;compraspublicas encontrar;0.0;0.0;0.08364188276605916;0.0
25;compraspublicas iniciar;0.0;0.0;0.06273141207454437;0.0
26;conocer mas;0.0;0.0;0.06970156897171598;0.0
27;convertir ecociudad;0.0;0.0;0.06970156897171598;0.0
28;cuidar total;0.0;0.0;0.010990703515658043;0.27959484222833103
29;dato actualizar;0.0;0.0;0.2857764327840355;0.0
30;dia internacional;0.0;0.03227664496267727;0.03846746230480315;0.0
31;diversidad sexual;0.0;0.0;0.03846746230480315;0.06213218716185134
32;economica ciudad;0.0;0.0;0.07667172586888756;0.0
33;educacion superior;0.0;0.0;0.06273141207454437;0.0
34;encontrar procesar;0.0;0.0;0.08364188276605916;0.0
35;escenario deportivo;0.0;0.0;0.06594422109394826;0.06213218716185134
36;escribirnos compartir;0.0;0.0;0.11849266725191715;0.0
37;espaciar publicar;0.0;0.0;0.04396281406263217;0.15533046790462834
38;fin semana;0.0;0.0;0.08243027636743532;0.06213218716185134
39;gerencia diversidad;0.0;0.0;0.03846746230480315;0.06213218716185134
40;gestor social;0.0;0.0;0.04945816582046119;0.03106609358092567
41;gracia escribirnos;0.0;0.0;0.2718361189896923;0.0
