#;feature;luisfer81567047;gabrielmoreno10;AlcaldiadeMed;QuinteroCalle;MedellinFuturo;estebanrestre;camivillamizar;JuanJoseAuxT;JuanDav60925142;monpabon;sanchezc_v;diamaov;oscarhurtadop;fonvalmed;Karen_delgadom;EducacionMed;soyalejangu;Juanparal;LinaGaviriaH;IUColmayor;ITM_Medellin;IUPascualBravo;bppiloto;CasadelaMemoria;casanes2;SapienciaMed;Metroparquesofi;FFerrocarrilAnt;ParqueExplora;PlanetarioMed;Exploratoriomed;FeriasCTI;AndreeSecSalud;Ale_Gomezl;julymartilo;Metrosalud;saviasaludeps;hospinfantilCM;seguridadmed;acevedossa;NataliaUrregoA;Dmonvel;sttmed;CadenaGaitan;Isvimed;1jorgetorresram;AeropuertoEOH;EDUMedellin;WilderWiler;metrodemedellin;Metroplus_SA;TerminalesMed;ParqueArvi;jbotanicomed;paolavargasdllo;plazamayormed;Ruta_N;juanandresvas;TelemedRadio;mabel_lopez5;infocreame;FNGSA;BureauMedellin;jorgeMejiaMa;AlejandroAriasG;AnaPiedadJaram1;JuventudMed;alejandromattah;Buen_Comienzo;GerenteEPM;AgenciaAPPMed;RodrigoForonda5;acimedellin;Emvarias;PatrimonioMDE;EnCicla;renehoyos;ConcejoMedellin;personeriamed;ContraloriaMed
0;abrir convocatorio;0.0;0.0;0.1010379330002382;0.0;0.0;0.0;0.01615209227839466;0.13864228151545463;0.0;0.0;0.04970367260323956;0.037557551086447996;0.0;0.0;0.14791855134582044;0.048374772392077395;0.05455570066199305;0.0;0.09438954676870583;0.13116938728543603;0.18842435508158914;0.23161697616469729;0.0491684974756904;0.0;0.0;0.07131372661086575;0.0;0.08645538724711005;0.0;0.0;0.29649867559804255;0.07060919354313444;0.0;0.06680603505362336;0.01881387112668098;0.0;0.0;0.0;0.001756043342659481;0.0022408783897404634;0.041031288187098974;0.0;0.0;0.0355437171885001;0.044358325281697815;0.021341412417922263;0.0;0.012930090512987056;0.0;0.0;0.0;0.0;0.019704882645212668;0.023263504647268587;0.0;0.03793122874234004;0.13387130346808881;0.1822800029704201;0.0030674029849037023;0.0;0.10277724768276192;0.023173395602493336;0.02541727630803008;0.0;0.05835342971758321;0.10217742627929825;0.15223208694710488;0.07371198484402174;0.0;0.0;0.07783924016771966;0.0;0.06731193074079642;0.0;0.15982887736882556;0.0;0.020157457864612937;0.003479562295204964;0.0;0.0
1;actualizar dato;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38351869396442534;0.0;0.0;0.0;0.0;0.0;0.022504519561251057;0.0;0.18733699226266998;0.0;0.0;0.0;0.005607791153308299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034326463318140384;0.04349481670868013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035787427922007474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13120212573356435;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4770208505213681;0.03804220677004015;0.0;0.0;0.0
2;aeropuerto operar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5539427779000441;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;aire convosradio;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010839622336791296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021148528777755107;0.0;0.0;0.0;0.0;0.0;0.0678057974369932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33343462933489004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;alto flujo;0.0;0.0;0.03515811501430242;0.0;0.0;0.02103699725296805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024814998959622685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009493612639094276;0.0;0.0;0.0;0.0;0.0;0.0;0.45783545180903096;0.0;0.0;0.0;0.0;0.01349782985168158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007484723368687358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;arte cultura;0.0;0.0;0.10858545260654097;0.052057102861748035;0.0;0.009281790754493077;0.0;0.05805149639590127;0.0;0.10196146808952132;0.045785597198719205;0.17298469265451705;0.06443216427498936;0.0;0.0681291628507989;0.029707634966985228;0.025127573120634024;0.02499664077780676;0.5962213195728372;0.054922489229263446;0.013351623845183791;0.07619961190303175;0.18117043690179746;0.1457117101978613;0.0;0.008211519869489153;0.0;0.637121778545993;0.0;0.03498291140449755;0.08193782201519381;0.0;0.0;0.006837755868834157;0.005776932770012147;0.004188702644235579;0.0;0.0;0.002426425119295684;0.004128465763203348;0.0944921137153874;0.06006439780240119;0.0;0.06548370504242332;0.032689293283735425;0.0;0.0;0.0655095562822879;0.06736233919867121;0.003537220588009;0.0;0.0;0.07260629023078966;0.021429673048766806;0.011923734413820794;0.017470579833330745;0.024663680794718253;0.0;0.001695362175355181;0.001113245805265913;0.0;0.0;0.2809639885288068;0.0;0.0;0.0;0.3205298992953809;0.15843651981272655;0.0;0.0;0.043021964896106574;0.0;0.020668606470777628;0.0;0.6134574013563918;0.0;0.0371369437307604;0.0096158188720478;0.0062366095772817326;0.0
6;autopista norte;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021324623436032426;0.0;0.0;0.0;0.0;0.07889498839457651;0.0;0.0;0.0;0.01538392829143113;0.0;0.045628292384706115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018956870889352201;0.034710711484737214;0.0;0.1548344325283966;0.030068461579839847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03326304952566057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03920739925161463;0.0;0.03434051958243952;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018925740035269097;0.0;0.0;0.06820938216844184;0.0;0.011454773693178762;0.0
7;autoridad continuan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3147356332546337;0.3450646407020776;0.0;0.0;0.0;0.0;0.0;0.0;0.0012395563277091408;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;bueno comenzar;0.0;0.0;0.05674701586783613;0.0634787202107486;0.0;0.03395480151424976;0.0;0.0;0.0;0.0;0.05583121139065895;0.5906277846037465;0.026189646264970168;0.0;0.0;0.19018468871199037;0.2757663193709401;0.030481042526647108;0.06058629890423978;0.013394557650745136;0.0;0.0;0.0;0.02538309547071405;0.0802214928576332;0.0;0.0;0.0;0.0;0.0;0.0;0.11897099160959429;0.0;0.00833799746443578;0.007044423888855503;0.040861818054778266;0.0;0.16067508008121542;0.0009862654200405174;0.0025171370348637946;0.0;0.02441428670391498;0.0004848885148344734;0.01996279836101695;0.10961914066423863;0.09588964723726205;0.0005515723694801539;0.2541722800573884;0.04107100518146666;0.0;0.010650233282442207;0.044167444269812166;0.0;0.0;0.0;0.0;0.0;0.0;0.003445556746632336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7409514765865826;0.0;0.01748707427309497;0.0;0.05040682693345354;0.012565017041324636;0.0;0.0;0.0;0.019542638187051483;0.0;0.0
9;bueno noche;0.0;0.0;0.02113991377072416;0.0;0.0;0.01264915106346834;0.0;0.0;0.0;0.0;0.04159749993770408;0.0;0.0;0.002966389357157187;0.0;0.020242665040356933;0.0;0.0;0.0;0.0;0.03639097485117989;0.020768845741809653;0.03086220489693846;0.0;0.0;0.007460396241573673;0.0;0.0;0.0;0.23837217553154494;0.0;0.0;0.0;0.018636879284987543;0.0;0.017124992549924858;0.09205617634192555;0.0;0.0;0.0;0.10301848445473964;0.05457019099258379;0.0005419052210193062;0.0;0.0;0.0;0.0;0.008115991401711292;0.0;0.7423564231175005;0.04761025963091088;0.23446461940027546;0.0;0.029204189019599563;0.0;0.011904384042013095;0.0;0.0;0.0;0.009102735496228104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03084514809834584;0.011251058720540611;0.0;0.01954333121743973;0.0;0.0;0.09829751973915794;0.0;0.013795885911190329;0.0;0.008736241294285692;0.0;0.0
